,day,hour,member_type,count
205,29-01-2021,7,member,104
206,29-01-2021,8,casual,35
207,29-01-2021,8,member,120
208,29-01-2021,9,casual,32
209,29-01-2021,9,member,116
210,29-01-2021,10,casual,35
211,29-01-2021,10,member,101
212,29-01-2021,11,casual,42
213,29-01-2021,11,member,116
214,29-01-2021,12,casual,37
215,29-01-2021,12,member,136
216,29-01-2021,13,casual,72
217,29-01-2021,13,member,124
218,29-01-2021,14,casual,58
219,29-01-2021,14,member,124
220,29-01-2021,15,casual,72
221,29-01-2021,15,member,137
222,29-01-2021,16,casual,62
223,29-01-2021,16,member,173
224,29-01-2021,17,casual,82
225,29-01-2021,17,member,229
226,29-01-2021,18,casual,82
227,29-01-2021,18,member,169
228,29-01-2021,19,casual,63
229,29-01-2021,19,member,148
230,29-01-2021,20,casual,36
231,29-01-2021,20,member,68
232,29-01-2021,21,casual,33
233,29-01-2021,21,member,27
234,29-01-2021,22,casual,16
235,29-01-2021,22,member,51
236,29-01-2021,23,casual,14
237,29-01-2021,23,member,24
238,30-01-2021,0,casual,13
239,30-01-2021,0,member,20
240,30-01-2021,1,casual,8
241,30-01-2021,1,member,9
242,30-01-2021,2,casual,5
243,30-01-2021,2,member,10
244,30-01-2021,3,casual,5
245,30-01-2021,3,member,5
246,30-01-2021,4,casual,5
247,30-01-2021,4,member,8
248,30-01-2021,5,casual,2
249,30-01-2021,5,member,7
250,30-01-2021,6,casual,11
251,30-01-2021,6,member,13
252,30-01-2021,7,casual,18
253,30-01-2021,7,member,35
254,30-01-2021,8,casual,25
255,30-01-2021,8,member,77
256,30-01-2021,9,casual,30
257,30-01-2021,9,member,96
258,30-01-2021,10,casual,38
259,30-01-2021,10,member,159
260,30-01-2021,11,casual,91
261,30-01-2021,11,member,195
262,30-01-2021,12,casual,136
263,30-01-2021,12,member,222
264,30-01-2021,13,casual,166
265,30-01-2021,13,member,231
266,30-01-2021,14,casual,206
267,30-01-2021,14,member,242
268,30-01-2021,15,casual,178
269,30-01-2021,15,member,258
270,30-01-2021,16,casual,168
271,30-01-2021,16,member,240
272,30-01-2021,17,casual,113
273,30-01-2021,17,member,218
274,30-01-2021,18,casual,74
275,30-01-2021,18,member,176
276,30-01-2021,19,casual,45
277,30-01-2021,19,member,103
278,30-01-2021,20,casual,38
279,30-01-2021,20,member,86
280,30-01-2021,21,casual,33
281,30-01-2021,21,member,49
282,30-01-2021,22,casual,30
283,30-01-2021,22,member,51
284,30-01-2021,23,casual,25
285,30-01-2021,23,member,25
286,31-01-2021,0,casual,22
287,31-01-2021,0,member,31
288,31-01-2021,1,casual,7
289,31-01-2021,1,member,6
290,31-01-2021,2,casual,6
291,31-01-2021,2,member,4
292,31-01-2021,3,casual,2
293,31-01-2021,3,member,3
294,31-01-2021,4,casual,1
295,31-01-2021,4,member,3
296,31-01-2021,5,casual,2
297,31-01-2021,5,member,8
298,31-01-2021,6,casual,8
299,31-01-2021,6,member,13
300,31-01-2021,7,casual,8
301,31-01-2021,7,member,22
302,31-01-2021,8,casual,9
303,31-01-2021,8,member,30
304,31-01-2021,9,casual,6
305,31-01-2021,9,member,31
306,31-01-2021,10,casual,18
307,31-01-2021,10,member,37
308,31-01-2021,11,casual,21
309,31-01-2021,11,member,63
310,31-01-2021,12,casual,17
311,31-01-2021,12,member,61
312,31-01-2021,13,casual,30
313,31-01-2021,13,member,82
314,31-01-2021,14,casual,26
315,31-01-2021,14,member,63
316,31-01-2021,15,casual,32
317,31-01-2021,15,member,50
318,31-01-2021,16,casual,38
319,31-01-2021,16,member,73
320,31-01-2021,17,casual,22
321,31-01-2021,17,member,43
322,31-01-2021,18,casual,13
323,31-01-2021,18,member,16
324,31-01-2021,19,casual,9
325,31-01-2021,19,member,17
326,31-01-2021,20,casual,11
327,31-01-2021,20,member,16
328,31-01-2021,21,casual,9
329,31-01-2021,21,member,15
330,31-01-2021,22,casual,9
331,31-01-2021,22,member,12
332,31-01-2021,23,casual,3
333,31-01-2021,23,member,7
